Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
82,gīticakrarathasthitāyai,kannaḍa,miśra cāpu,107,कन्नड (२८),मिश्र चापु,"Scores: T=0.0, R=100.0, TL=100.0"
83,guṇijanādinuta,gurjjari,ādi,गुरुगुहपदपङ्कज,गुज्जरि (१५),आदि,"Scores: T=42.4, R=93.3, TL=100.0"
84,guruguhapadapankaja,śaṅkarābharaṇam,miśra cāpu,गुरुगुहभवान्तरङ्गिणीम्,शङ्कराभरणम् (२९),तिस्र एकम्,"Scores: T=60.5, R=100.0, TL=60.0"
85,guruguhabhavāntarangiņim,caturangiṇi,Unknown,[SYNCED] guruguhabhavāntarangiņim,चतुरङ्गिणि (६६),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
86,guruguha sarasija,śaṅkarābharaṇam,caturaśra ekam,गुरुगुहस्वामिनि,शङ्कराभरणम् (२१),चतुरश्र एकम्,"Scores: T=68.8, R=100.0, TL=100.0"
87,guruguhasvāmini,bhānumati,Unknown,गुरुगुहादन्यम्,भानुमति (४),खण्ड त्रिपुट,"Scores: T=69.0, R=100.0, TL=0.0"
90,gurumūrte,śaṅkarābharanaṃ,rūpakam,116,शङ्कराभरणम् (२१),रूपकम्,"Scores: T=0.0, R=100.0, TL=100.0"
91,gokarṇeśvara pāhi,saurāṣṭram,ādi,गोपालकृष्णाय नमस्ते,सौराष्ट्रम् (१५),आदि,"Scores: T=47.4, R=100.0, TL=100.0"
92,gopālakṛṣṇāya namaste,kāmbhoji,Unknown,गोवर्धनगिरीशम्,काम्भोजि (२८),आदि,"Scores: T=42.1, R=100.0, TL=0.0"
93,Unknown,hindolam,rūpakam,Unknown,हिन्दोळम् (२०),रूपकम्,"Scores: T=0.0, R=100.0, TL=100.0"
94,govindarajāya,suraṭi,rūpakam,गोविन्दराजाय,सुरटि (२८),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
