Composer,Krithi,Raga,Raga_Normalized,Hyperlink
Thyagaraja,lAvaNya rAma,pUrNa shaDjaM,purnashadjam,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-laavanya-rama-raga.html
Thyagaraja,lIlagAnu jUcu,divya maNi-dundubhi,divyamanidundubhi,http://thyagaraja-vaibhavam.blogspot.com/2008/08/thyagaraja-kriti-leelaganu-jucu-raga.html
Thyagaraja,mahima taggincukO,rishabha priya,rishabhapriya,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-mahima-tagginchuko.html
Thyagaraja,manasA SrI rAmacandruni,ISa manOhari,isamanohari,http://thyagaraja-vaibhavam.blogspot.com/2007/11/thyagaraja-kriti-manasaa-sri.html
Thyagaraja,manasu svAdhIna,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-manasu-svadhina-raga.html
Thyagaraja,manasu vishaya,nATa kuranji,natakuranji,http://thyagaraja-vaibhavam.blogspot.com/2008/01/thyagaraja-kriti-manasu-vishaya-raga.html
Thyagaraja,manavinAlakinca,naLina kAnti,nalinakanti,http://thyagaraja-vaibhavam.blogspot.com/2007/11/thyagaraja-kriti-manavinaalakincha-raga.html
Thyagaraja,mariyAda kAdurA,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-mariyada-kadura-raga.html
Thyagaraja,marugElarA,jayanta SrI,jayanta,http://thyagaraja-vaibhavam.blogspot.com/2007/06/thyagaraja-kriti-marugelaraa-raga.html
Thyagaraja,mA kulamuna,suraTi,surati,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-ma-kulamuna-raga.html
Thyagaraja,mA rAmacandruniki,kEdAra gauLa,kedaragaula,http://thyagaraja-vaibhavam.blogspot.com/2007/12/thyagaraja-kriti-maa-ramachandruniki.html
Thyagaraja,mAkElarA vicAramu,ravi candrika,ravicandrika,http://thyagaraja-vaibhavam.blogspot.com/2008/02/thyagaraja-kriti-maakelaraa-vichaaramu.html
Thyagaraja,mAnamu lEdA,hamIr kalyANi,hamirkalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/10/thyagaraja-kriti-maanamu-leda-raga.html
Thyagaraja,mAra vairi,nAsikA bhUshaNi,nasikabhushani,http://thyagaraja-vaibhavam.blogspot.com/2008/10/thyagaraja-kriti-maara-vairi-ramani.html
Thyagaraja,mATADavEmi,nIlAmbari,nilambari,http://thyagaraja-vaibhavam.blogspot.com/2008/06/thyagaraja-kriti-maataadavemi-raga.html
Thyagaraja,mElu mElu rAma nAma,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-melu-melu-rama-naama.html
Thyagaraja,mElukO dayA nidhi,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-meluko-dayaa-nidhi.html
Thyagaraja,mElukOvayya,bhauLi,bhauli,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-melukovayya-raga.html
Thyagaraja,mEru samAna dhIra,mAyA mALava gauLa,mayamalavagaula,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-meru-samaana-raga.html
Thyagaraja,mOsa pOku,gauLipantu,gaulipantu,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-mosa-boku-raga-gauli.html
Thyagaraja,muccaTa,madhyamAvati,madhyamavati,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-mucchata-raga.html
Thyagaraja,mummUrtulu,aThANa,athana,http://thyagaraja-vaibhavam.blogspot.com/2008/05/thyagaraja-kriti-mummurthulu-raga.html
Thyagaraja,munnu rAvaNa,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-munnu-ravana-raga-todi.html
Thyagaraja,nagu mOmugala vAni,madhyamAvati,madhyamavati,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-nagu-momu-gala-vaani.html
Thyagaraja,naLina lOcana,madhyamAvati,madhyamavati,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-nalina-lochana-raga.html
Thyagaraja,nammi vaccina,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-nammi-vacchina-raga.html
Thyagaraja,namO namO rAghavAya,dESiya tODi,desiyatodi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-namo-namo-raghavaaya.html
Thyagaraja,nannu brOvakanu,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-nannu-brovakanu-raga.html
