Krithi,Raga,Hyperlink
kAmESvarENa,SrI rAgaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kaamesvarena-raga-sri.html
kanaka sabhA patiM,mALava SrI,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-kanaka-sabhaa-pathim.html
kanakAmbari kAruNya,kanakAmbari,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-kanakaambari-kaarunya.html
kAncISaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kancheesam-raga.html
kanja daLAyatAkshi,manOhari,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-kanja-dalaayataakshi.html
kari kaLabha,sAvEri,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kari-kalabha-mukham.html
kASi viSAlAkshIM,gamaka kriya,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kasi-visaalaaksheem.html
kASi viSvESvara,kAmbhOji,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kasi-visvesvara-raga.html
kaumAri gauri,gauri vAlAvali,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kaumaari-gauri-raga.html
kAyArOhaNESaM,dEva gAndhAraM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kaayaarohanesam-raga.html
kOdaNDa rAmaM,kOkilAravaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kothanda-ramam-raga.html
kRshNAnanda,gauLipantu,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-krishnaananda-mukunda.html
kshitijA ramaNaM,dEva gAndhAri,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kshithijaa-ramanam-raga.html
kumAra svAminaM,asAvEri,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kumaara-svaaminam-raga.html
kumbhESvarAya namastE,kalyANi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kumbhesvaraaya-namastae.html
kumbhESvarAya namastE,kEdAraM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kumbhesvaraaya-namastae_30.html
kumbhESvarENa,kalyANi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kumbhesvarena-raga.html
kusumAkara SObhita,kusumAkaraM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kusumaakara-sobhita.html
kusumAkara vimAna,Ahiri,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kusumaakara-vimaana.html
lalitA paramESvari,suraTi,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-lalita-paramesvari-raga.html
lalitAmbikAM,dEvakriya,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-lalitambikam-raga-deva.html
lalitAmbikAyai,bhairavi,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-lalitambikayai-raga.html
lambOdarAya,varALi,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-lambodaraya-raga-varali.html
mAdhavO mAM pAtu,rAga mAlikA,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-madhavo-mampatu-dasa.html
madhurAmbA jayati,paraju,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-madhuramba-jayati-raga.html
madhurAmbA saMrakshatu,dEva kriya,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-madhrambha-samrakshatu.html
madhurAmbAM bhaja,stava rAjaM,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-madhurambam-bhajare.html
madhurAmbAyAstava,bEgaDa,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-madhurambayastava-raga.html
madhurAmbikAyAM,dESi siMhAravaM,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-madhurambikayam-raga.html
mahA dEvEna,dEva manOhari,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahadevena-raga.html
mahA gaNa patE,naTa nArAyaNi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maha-ganapate-raga-nata.html
mahA gaNa patiM manasA,nATa,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maha-ganapatim-manasa.html
mahA gaNa patiM vandE,tODi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maha-ganapatim-vande.html
mahA lakshmi karuNa,mAdhava manOhari,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maha-lakshmi-karuna.html
mahA lingESvaraM,paraju,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahalingesvaram-raga.html
mahA lingESvarAya,aThANa,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahalingesvaraya-athana.html
mahA suraM kEtuM,cAmaraM,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahasuram-ketum-raga.html
mahA tripura sundari,madhyamAvati,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maha-tripura-sundari.html
mahishAsura mardini,gauLa,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahishasura-mardini.html
mahishAsura mardinIM,nArAyaNi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mahishasura-mardinim.html
mAmava mInAkshi,varALi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mamava-meenakshi-raga.html
mAmava paTTAbhirAma,maNirangu,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mamava-pattabhirama.html
mAmava raghuvIra,mAhuri,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mamava-raghuvira-raga.html
mAnasa guru guha,Ananda bhairavi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-manasa-guruguha-raga.html
mangaLa dEvatayA,dhanyASi,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-mangala-devataya-raga.html
mangaLa dEvatE,mArga dESi,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-mangala-devate-raga.html
mangaLaM jaya,vasanta,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-mangalam-jaya-mangalam.html
mangaLAmbAyai,mALava SrI,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-mangalambayai-raga.html
mAra kOTi kOTi,Arabhi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mara-koti-koti-raga.html
mAra rati priyaM,rati priya,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maara-rati-priyam-raga.html
marakata lingaM,vasanta,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-marakata-lingam-raga.html
marakata vallIM,kAmbhOji,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-marakata-valleem-raga.html
mArga hindOLa,mArga hindOLaM,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-marga-hindola-raga-raga.html
mArga sahAyESvaraM,kASi rAmakriya,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-marga-sahayesvaram-raga.html
mAruvakAdi mAlini,mAruva,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maruvakadi-malini-raga.html
mAtangi marakatAngi,dhauta pancamaM,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-matangi-marakatangi.html
mAtangi Sri,ramA manOhari,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-matangi-sri-raga-ramaa.html
matsyAvatAra,binna pancamaM,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-matsyavatara-raga.html
mAyE citkalE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maye-chitkale-raga.html
mAyE tvaM yAhi,tarangiNI,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-maye-tvam-yahi-raga.html
mAyUra nAthaM,dhanyASi,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-mayura-natham-raga.html
mInAkshi mE mudaM,gamaka kriya,http://guru-guha.blogspot.com/2008/04/dikshitar-kriti-meenakshi-memudam-raga.html
mOhana nATa,mOhana nATa,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-mohana-nata-raga-raga.html
mucukunda varada,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-muchukunda-varada-raga.html
mura harENa,Suddha mukhAri,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-mura-harena-mukundena.html
nabhO maNi,nabhO maNi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nabho-mani-raga-nabho.html
nAga gAndhAri,nAga gAndhAri,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-naaga-gaandhaari-raga.html
nAga lingaM bhajEhaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-naaga-lingam-bhajeham.html
nAga lingaM namAmi,mOhanaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-naagalingam-namaami.html
nAgAbharaNaM,nAgAbharaNaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-naagaabharanam-raga.html
namastE para dEvatE,dEvaranji,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-namastae-para-devatae.html
namO namastE gIrvANi,gIrvANi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-namo-namastae-girvani.html
nanda gOpAla,yamunA kalyANi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nanda-gopala-raga.html
nara harim,jaya Suddha mALavi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nara-harim-aasrayaami.html
narasiMhAgaccha,mOhanaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-narasimhaagaccha-raga.html
narmadA kAvEri,nAma dESi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-narmadaa-kaaveri-raga.html
nava ratna mAlinIM,gamaka kriyA,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nava-ratna-maalineem.html
nava ratna vilAsa,nava ratna vilAsaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nava-ratna-vilaasa-raga.html
